آدینک|ádénk	<i>noun</i><br><ol><li>mirror</li></ol>
ہشک|hušk	<i>adj</i><br><ol><li>dry</li></ol>
ہفت|haft	<i>num</i><br><ol><li>seven</li></ol><br><i>noun</i><br><ol><li>seven (digit)</li></ol>
ہفتاد|haftád	<i>num</i><br><ol><li>seventy</li></ol>
ہلک|halk	<i>noun</i><br><ol><li>village</li></ol>
ہمب	<i>noun</i><br><ol><li>Mango</li></ol>
ہمساہگ|hamsáhag|hamsáhig	<i>noun</i><br><ol><li>neighbour</li></ol>
ہمسایگ|hamsáyag	<i>noun</i><br><ol><li>neighbour</li></ol>
ہند|hand	<i>noun</i><br><ol><li>place</li><li>area</li><li>region</li><li>house</li><li>residential building</li></ol>
ہندگ|handag	<i>verb</i><br><ol><li>to laugh</li></ol>
ہنسگ|hansag	<i>noun</i><br><ol><li>ladle</li></ol>
ہور|hawr|hawar	<i>noun</i><br><ol><li>(meteorology) rain</li></ol>
ہون|hūn	<i>noun</i><br><ol><li>blood</li></ol>
ہپت|hapt	<i>num</i><br><ol><li>seven</li></ol><br><i>noun</i><br><ol><li>seven (digit)</li></ol>
ہپتگ|haptag	<i>noun</i><br><ol><li>week</li></ol>
ہڈ|haďď	<i>noun</i><br><ol><li>bone</li></ol>
ہید|hed	<i>noun</i><br><ol><li>sweat</li></ol>
یارگ|yárag|یارت	<i>verb</i><br><ol><li>to bring</li></ol>
